A car vehicle
E soda juice
A planet body
A cat creature
E city ocean
A city location
E star meteor
A cat animal
E mammal animal
A bird animal
I student adult
E plant organism
A car vehicle
A spider creature
I mammal dog
A insect animal
A gecko lizard
O human male
E building vehicle
A elephant animal
E book paper
E ball star
E fish sea
O tree green
E rock object
I planet dog
I fish penguin
A newspaper animal
A doctor cloud
E fish swimmer
A animal fish
I animal mammal
A feline mammal
A triangle polygon
A animal thing
E dog cat
A building structure
I cloud house
E retriever dog
A square polygon
O potato thing
A fish water
A character stone
E insect arachnid
O dog animal
E table thing
E work item
E plant flower
A planet cube
A square rectangle
E tree shrub
A human robot
E apple fruit
E lion gazelle
A idea tree
A cutlery furniture
A mammal animal
E canine cat
O reptile amphibian
A hammer tool
E plant tree
A animal idea
A bicycle vehicle
A star spoon
A fruit feeling
A animal thing
I creature vertebrate
A fire thing
E bird fish
E triangle square
E cloud rock
A mammal animal
A number animal
E book building
E automobile vehicle
E lion herbivore
E parrot mammal
A doctor professional
A tiger feline
O scientist engineer
I reptile animal
A bird animal
A satellite moon
E animal beak
I scientist engineer
I car vehicle
A fruit food
E doctor engineer
E circle shape
E cat dog
A house structure
A person wood
A dog mammal
O thought signal
A book ton
E worker people
E amphibian thing
A fruit thing
A airplane cloud
A building candy
E vegetable fruit
A vehicle machine
E university plant
I student athlete
E body star
A table furniture
E ghost thing
E bird animal
E reptile amphibian
E object tool
E continent country
E human tree
E mammal shark
I member singer
A bird animal
I scientist programmer
A bird fish
E shirt vegetable
A house building
A human mortal
A star body
E chair furniture
O animal mammal
A lion feline
E spider bird
A bird vertebrate
I capital thing
I table thing
A puppy thing
I creature animal
E vegetable meat
A mammal object
E insect mammal
A car engine
A apple thing
O river ocean
A bird animal
A hammer item
A ghost fact
A flower animal
O item thing
A apple vegetable
E amphibian thing
E rose vegetable
A feline animal
E building plant
E gold silver
A planet body
E bird insect
E computer tablet
O device thing
A bird creature
A shoe footwear
I vegetable apple
A animal thing
E creature reptile
E bird mammal
A window animal
A soda liquid
A liquid thing
A sun star
A human mammal
A fruit seed
E shrub plant
I planet animal
A priest person
E car airplane
E fish mammal
A teacher being
E robot being
A human mammal
A water gas
E vegetable fruit
A politician mortal
E tree organism
A oak plant
E tree animal
E star body
E fruit good
A kitchen room
A fish bird
A dog fur
E human people
A robin bird
A dog mammal
E dog mammal
I person student
E car boat
E car boat
A vegetable plant
I apple fruit
A dog mammal
A dog animal
E eagle mammal
A insect animal
A liquid fluid
A human being
E dog mammal
A machine human
A fish creature
E bird insect
E cat dog
E dog plant
I person lawyer
A flower metal
A truck vehicle
E animal thing
A reptile thing
A fish thing
I food cake
E machine animal
A priest man
E machine chair
A house building
E parrot mammal
A bird thing
E animal animal
E vehicle thing
I writer poet
A fish tree
A human mortal
A sparrow bird
I animal mammal
A poet writer
A mammal creature
A stone cloud
E emotion feeling
E liquid fluid
E painting work
I vegetable thing
A square quadrilateral
A professional people
A car vehicle
O tree oak
I vehicle machine
E liquid solid
O flower plant
I creature centaur
E vegetable apple
E canine feline
O human fish
E animal rock
A actor performer
I dog cat
A country city
E creature arachnid
E bird reptile
A liquid thing
E plant tree
E table tree
A mammal animal
A tree thing
E square circle
A pen object
E thing rock
E mammal animal
A triangle shape
A cat mammal
A cat animal
A car vehicle
A cat feline
A bird animal
A fruit seed
E moon planet
E book biography
E mountain ocean
E machine human
E rock animal
E triangle shape
E computer laptop
A star planet
A human mortal
A smartphone tool
I planet rose
E vehicle thing
E cat animal
A dog mammal
I individual painter
O mammal fish
A organism thing
I european people
A cloud reptile
A tree plant
E fruit broccoli
O building skyscraper
E book work
I restaurant thing
A vegetable planet
A mammal animal
E moon body
E rock plant
A pig thing
E liquid cat
E cat pet
E artist people
A dog mammal
E bird fish
E insect creature
A cloud vehicle
A novel book
E reptile human
I animal mammal
E liquid substance
A gold substance
A novel work
A bird creature
A tree instrument
A car engine
O insect creature
I shoe fruit
E animal feline
E animal plant
E doctor person
E father human
A car cloud
A sedan car
E creature bird
E fish creature
E vehicle mode
A furniture wood
A dog mammal
A stone thing
E fish mammal
E polygon shape
A liquid fluid
I animal bird
A dog thing
E shirt pant
E creature people
A dog mammal
A water molecule
I people physicist
A vegetable thing
E object furniture
E animal thing
A nurse thing
E star planet
A planet robot
E vegetable fruit
O animal bird
E star body
I mammal cat
A grape fruit
A child mortal
A doctor person
A polygon square
E dog cat
A dog mammal
A number concept
A cat mammal
A lion carnivore
A bird thing
E cat dog
O novel story
A fish creature
E car bicycle
A teacher graduate
A sparrow animal
E parent human
O dog cat
A mortal number
E bird mammal
A animal bird
A tree plant
E vegetable fruit
E sofa furniture
I elephant mammal
A primate mammal
E square circle
A phone plant
A elephant mammal
E liquid solid
A reptile lizard
A plane vehicle
A dog animal
E dog cat
E vehicle object
E reptile mammal
E square circle
E city country
A retriever mammal
A insect arthropod
E creature organism
A reptile animal
O vegetable thing
A triangle polygon
E fish mammal
A rhino mammal
A song composition
E bird car
E number animal
A canine mammal
E stone meat
O bird animal
A dog canine
E house school
A elephant mammal
A vegetable plant
A sport activity
A liquid fluid
I building house
A house thing
A bird animal
A fruit food
A dog animal
A apple food
E stone berry
A dog cloud
A dog mammal
A sky thing
I penguin bird
A liquid thing
E body thing
E fruit vegetable
A book planet
A cat animal
A ocean water
A plant food
E animal whale
O vegetable fruit
I insect beetle
A human cloud
E dog cat
I chair people
A novel planet
A planet body
A fish animal
A dog family
A cat creature
A fish amphibian
E car motorcycle
E number table
E vegetable plant
A bird fish
E car boat
I number planet
I mammal thing
I liquid cat
A computer plant
A spoon cutlery
I mammal primate
A mammal thing
E cat fish
E fish mammal
E people liar
E vehicle canine
E square thing
A mammal animal
E number wave
E car boat
A cat animal
A bird creature
A apple cloud
E animal feline
A doctor people
E mammal bird
I feline lion
E color color
O cloud thing
A fish animal
O organism mammal
A laptop computer
I dog carnivore
A feline mammal
E vegetable fruit
A dog animal
A tree wood
E dog cat
E bird fish
A human primate
E footwear thing
E spider arachnid
E cat dog
A shape animal
O water liquid
E square circle
E automobile bicycle
O person thing
E insect animal
A teacher educator
I creature reptile
I fish mammal
A dog animal
E thing computer
E item vehicle
E vehicle bicycle
A mammal insect
E fruit thing
A reptile thing
A professor academic
A being cloud
A man human
O tree pine
E plant mammal
A square quadrilateral
A dog mammal
E car airplane
I fish fish
A teacher educator
E liquid solid
A fish thing
A dog animal
E mammal thing
O furniture chair
I building house
A mammal organism
E animal creature
E vehicle car
A car vehicle
A dog mammal
A bird vertebrate
E car boat
E zebra dog
E human animal
A minister politician
A cloud thing
E computer animal
A people thing
A mammal thing
I animal sparrow
E flower vegetable
E person person
A dog mammal
E dog canine
A bird creature
E table desk
A insect leg
A cat dog
E fish mammal
E fish animal
O item currency
A poodle dog
E table chair
I leader politician
E reptile mammal
A pencil instrument
I plant vegetable
A car vehicle
A square polygon
E car thing
I car truck
E mammal fish
E animal creature
E lion animal
E bird creature
I building dog
A lion building
A triangle polygon
A banana fruit
O car liquid
A flower plant
E number concept
A rock thing
A hut vehicle
A ocean desert
A time liquid
A cat dog
I student human
A rose flower
A planet thing
A fish tree
E mammal reptile
E number word
A shirt garment
E dog feline
A hammer object
I bee insect
E animal vertebrate
A doctor professional
E comet moon
E cat mammal
A chef expert
E student teacher
E plant human
I athlete runner
A cat creature
A thing creature
E soda juice
E vegetable fruit
E book thing
A priest man
E car liquid
A dog animal
E liquid solid
A penguin creature
A rose flower
A planet animal
A phone device
E pet canine
E tree being
E circle square
E scientist novelist
E spoon fork
A eagle bird
E dog feline
A animal thing
E bird fish
A doctor being
A dog mammal
A mountain landform
A tulip flower
A vehicle thing
I voter citizen
A fish insect
A tiger feline
A carrot vegetable
E engineer practitioner
