id canonical_form 
1 E soda juice
2 A planet celestial_body
3 A cat invisible_creature
4 E capital_city ocean
5 A city location
6 E star meteor
7 A cat animal
8 E mammal animal
9 A bird animal
10 I student adult
11 E plant living_organism
12 A car vehicle
13 A spider creature_with_eight_leg
14 I mammal dog
15 A insect animal
16 A gecko type_of_lizard
17 O human male
18 E building vehicle
19 A elephant four_legged_animal
20 E book thing_made_of_paper
21 E giant_ball_of_gas star
22 E fish thing_that_live_in_the_sea
23 O tree green
24 E rock object
25 I planet dog
26 I fish penguin
27 A newspaper animal
28 A doctor cloud
29 E fish swimmer
30 A animal_with_fin fish
31 I animal mammal
32 A feline mammal
33 A triangle polygon
34 A person_who_is_animal living_thing
35 E dog cat
36 A building structure
37 I cloud house
38 E retriever dog
39 A square polygon
40 O potato living_thing
41 A fish thing_that_live_in_water
42 A fictional_character stone
43 E insect arachnid
44 O dog animal
45 E table living_thing
46 E written_work item_with_printed_page
47 E plant_with_thorn flower
48 A planet cube
49 A square shape_that_is_also_a_rectangle
50 E tree shrub
51 A human robot
52 E apple citrus_fruit
53 E lion gazelle
54 A idea tree
55 A cutlery furniture
56 A mammal animal
57 E canine cat
58 O reptile amphibian
59 A hammer tool
60 E plant tree
61 A animal idea
62 A bicycle vehicle
63 A star spoon
64 A fruit feeling
65 A animal living_thing
66 O creature vertebrate
67 A fire frozen
68 E bird fish
69 E triangle square
70 E cloud rock
71 A mammal animal
72 A number animal
73 E book building
74 E automobile self_propelled_vehicle
75 E lion herbivore
76 E parrot mammal
77 A doctor professional
78 A tiger feline
79 O scientist engineer
80 I reptile animal
81 A bird animal
82 A satellite moon
83 E animal fish_that_have_beak
84 I scientist engineer
85 I car vehicle
86 A fruit food
87 E doctor engineer
88 E circle round_shape
89 E cat dog
90 A house structure
91 A person thing_made_of_wood
92 A dog mammal
93 E thought electrical_signal_in_the_brain
94 A book thing_that_weigh_a_ton
95 E hard_worker lazy_people
96 E land_dwelling_amphibian thing_that_is_able_to_survive_in_saltwater
97 A fruit thing_that_grow_on_tree
98 A airplane cloud
99 A building thing_made_of_candy
100 E vegetable fruit
101 A vehicle machine
102 E university plant
103 I student athlete
104 E celestial_body object_that_orbit_a_star
105 A table type_of_furniture
106 E ghost immortal
107 E bird animal
108 E reptile amphibian
109 E object tool_and_have_handle
110 E continent country
111 E human tree
112 E mammal shark
113 I band_member singer
114 A bird animal
115 I scientist programmer
116 A bird fish
117 E shirt vegetable
118 A house building
119 A human mortal
120 A star luminous_celestial_body
121 E chair furniture
122 O animal mammal
123 A lion feline
124 E spider bird
125 A bird vertebrate
126 I capital polluted
127 I table happiness
128 A puppy venomous
129 I mammal animal
130 E vegetable type_of_meat
131 A mammal animate_object
132 E insect mammal
133 A car thing_that_has_engine
134 A apple edible_thing
135 O river ocean
136 A bird animal
137 A hammer tool
138 A ghost scientific_fact
139 A flower animal
140 O stationery_item thing_that_can_be_used_for_writing
141 A apple vegetable
142 E amphibian thing_that_do_not_live_on_both_land_and_in_water
143 E rose vegetable
144 A feline animal
145 E building plant
146 E gold silver
147 A planet celestial_body
148 E bird insect
149 E computer tablet
150 O input_device thing_used_for_typing
151 A bird creature_with_feather
152 A shoe type_of_footwear
153 I vegetable apple
154 A animal flightless_thing
155 E fish reptile
156 E bird mammal
157 A window animal
158 A soda liquid
159 A liquid wet
160 A sun star
161 A human mammal
162 A fruit thing_that_contain_seed
163 E shrub plant_over_20_feet_tall
164 I planet animal
165 A priest person
166 E car airplane
167 E fish mammal
168 A teacher human_being
169 E robot organic_being
170 A human mammal
171 A body_of_water gas
172 E vegetable thing_that_can_be_described_as_fruit
173 A politician mortal
174 E tree living_organism
175 A oak plant
176 E tree animal
177 E star celestial_body_that_orbit_other_celestial_body
178 E fruit baked_good
179 A kitchen room
180 A fish bird
181 A dog thing_that_has_fur
182 E human people
183 A robin bird
184 A dog mammal
185 E dog mammal
186 I people student
187 E car boat
188 E car boat
189 A vegetable plant
190 I apple fruit
191 A dog mammal
192 A dog animal
193 E eagle mammal
194 A insect animal
195 A liquid fluid
196 A human being_that_has_eye
197 E dog mammal
198 A machine human
199 A fish creature
200 E bird insect
201 E cat dog
202 E dog plant
203 I politician lawyer
204 A flower thing_made_of_metal
205 A truck vehicle
206 E animal fish_and_warm_blooded
207 A reptile living_thing
208 A fish thing_that_can_fly
209 I sweet_food cake
210 E machine animal
211 A priest man
212 E machine chair
213 A house thing_that_is_a_building
214 E parrot mammal
215 A bird thing_that_has_the_ability_to_read_novel
216 E land_animal aquatic_animal
217 E vehicle thing_made_of_metal
218 I writer poet
219 A fish thing_that_live_in_tree
220 A human mortal
221 A sparrow bird
222 O animal mammal
223 A poet writer
224 A mammal creature_that_is_warm_blooded
225 A stone cloud
226 E emotion feeling
227 E liquid fluid
228 E painting work_of_literature
229 I vegetable thing_that_grow
230 A square quadrilateral
231 A professional person
232 A car vehicle
233 O tree oak
234 I vehicle machine
235 E liquid solid
236 O flower plant
237 I mythical_creature centaur
238 E vegetable apple
239 E canine feline
240 E human fish
241 E animal rock
242 A actor performer
243 I dog cat
244 A country capital_city
245 E creature_with_eight_leg arachnid
246 E bird reptile
247 A liquid wet
248 E plant tree
249 E table tree
250 A mammal animal
251 A tree thing_that_is_alive
252 E square circle
253 A pen object
254 E living_thing_that_can_breathe_oxygen rock
255 E mammal animal
256 A triangle shape
257 A cat mammal
258 A cat animal
259 A car type_of_vehicle_with_engine
260 A cat feline
261 A bird animal
262 A fruit object_that_contain_seed
263 E moon planet
264 E fiction_book biography
265 E mountain ocean
266 E machine human
267 E rock animal
268 E triangle shape_with_three_side
269 E computer laptop
270 A star planet
271 A human mortal
272 A smartphone tool
273 I planet rose
274 E vehicle thing_that_is_able_to_fly
275 E cat aquatic_animal
276 A dog mammal
277 O artist painter
278 E mammal fish
279 A living_organism thing_that_consume_energy
280 I european people
281 A cloud reptile
282 A tree plant
283 E fruit broccoli
284 O building skyscraper
285 E nonfiction_book fictional_work
286 I fast_food_restaurant thing_that_have_a_drive_thru
287 A vegetable planet
288 A mammal thing_that_is_an_animal
289 E moon celestial_body
290 E rock plant
291 A pig thing_that_is_capable_of_flight
292 E liquid cat
293 E cat pet
294 E artist people_who_conduct_systematic_research
295 A dog mammal
296 E bird fish
297 E insect creature_with_eight_leg
298 A cloud vehicle
299 A novel book
300 E reptile human
301 I animal mammal
302 E liquid substance
303 A piece_of_gold precious_substance
304 A novel work_of_fiction
305 A bird winged_creature
306 A tree musical_instrument
307 A car thing_that_has_engine
308 O insect creature_with_eight_leg
309 I shoe fruit
310 E aquatic_animal feline
311 E animal plant
312 E doctor people_who_perform_on_stage
313 E father human
314 A car sentient_cloud
315 A sedan car
316 E flying_creature bird
317 E fish creature_with_fur
318 E vehicle mode_of_transportation
319 A furniture thing_made_of_wood
320 A dog mammal
321 A stone soft
322 E fish mammal
323 E polygon shape_with_three_side
324 A liquid fluid
325 I animal bird
326 A dog thing_that_is_capable_of_photosynthesis
327 E shirt pant
328 E mythical_creature people
329 A dog mammal
330 A water h2o_molecule
331 I smart_person physicist
332 A vegetable green
333 E object furniture
334 E animal carnivore_and_herbivore
335 A nurse someone_who_can_fly
336 E star planet
337 A planet thing_that_is_secretly_a_robot
338 E vegetable fruit
339 O animal non_bird
340 E star celestial_body
341 I mammal cat
342 A grape fruit
343 A child mortal
344 A doctor person
345 A polygon square
346 E dog cat
347 A dog mammal
348 A number concept
349 A cat mammal
350 A lion carnivore
351 A bird thing_made_of_glass
352 E cat dog
353 O novel short_story
354 A fish creature
355 E car bicycle
356 A teacher college_graduate
357 A sparrow type_of_animal
358 E parent human
359 O dog cat
360 A mortal number
361 E bird mammal
362 A animal bird
363 A tree plant
364 E vegetable fruit
365 E sofa furniture
366 I elephant mammal
367 A primate mammal
368 E square circle
369 A phone plant
370 A elephant mammal
371 E liquid solid
372 A reptile lizard
373 A plane vehicle
374 A dog animal
375 E dog cat
376 E vehicle object_with_wheel
377 E reptile mammal
378 E square circle
379 E city country
380 A golden_retriever mammal
381 A insect arthropod
382 E creature human_and_organism
383 A reptile animal
384 E vegetable thing_that_is_not_poisonous
385 A triangle polygon
386 E fish mammal
387 A rhino mammal
388 A song composition
389 E bird car
390 E even_number animal
391 A canine mammal
392 E stone meat
393 O bird animal
394 A dog canine
395 E house school
396 A elephant mammal
397 A vegetable plant
398 A sport thing_that_require_physical_activity
399 A liquid fluid
400 I building house
401 A house thing_made_of_chocolate
402 A bird animal
403 A fruit food_that_contain_seed
404 A dog animal
405 A apple food
406 E stone berry
407 A dog cloud
408 A dog mammal
409 A sky blue_thing
410 I penguin bird
411 A liquid solid
412 E celestial_body thing_in_the_sky
413 E fruit vegetable
414 A book planet
415 A cat animal
416 A ocean body_of_water
417 A plant food
418 A land_animal whale
419 E vegetable fruit
420 I insect beetle
421 A human cloud
422 E dog cat
423 I chair people
424 A novel planet
425 E planet thing_that_is_not_also_a_celestial_body
426 A fish animal_that_live_in_water
427 A dog thing_that_belong_to_the_canine_family
428 A cat living_creature
429 A fish creature_that_is_an_amphibian
430 E car motorcycle
431 E number table
432 E vegetable plant
433 A bird fish
434 E car boat
435 I number planet
436 I mammal thing_that_live_on_land
437 I liquid cat
438 A computer plant
439 A spoon piece_of_cutlery
440 I mammal primate
441 A mammal living_thing
442 E cat fish
443 E fish mammal
444 E honest_person liar
445 E animal flying_vehicle_and_also_canine
446 E square round
447 A mammal animal
448 E number wave
449 E car boat
450 A cat animal
451 A bird winged_creature
452 A apple cloud
453 E pet_animal feline
454 A doctor person_who_have_medical_training
455 E mammal bird
456 I feline lion
457 E primary_color secondary_color
458 O cloud thing_made_of_water
459 A fish animal
460 I living_organism mammal
461 A laptop computer
462 I dog carnivore
463 A feline mammal
464 E vegetable fruit
465 A dog animal
466 A tree thing_made_of_wood
467 E dog cat
468 E bird fish
469 A human primate
470 E footwear clothing
471 E spider arachnid
472 E cat dog
473 A shape animal
474 O water liquid
475 E square circle
476 E automobile bicycle
477 O person thing_that_has_blood
478 E insect animal
479 A teacher educator
480 O mammal reptile
481 I fish mammal
482 A dog animal
483 E non_living_thing computer
484 E two_wheeled_item vehicle
485 E motorized_vehicle bicycle
486 A mammal insect
487 E fruit thing_that_grow_on_tree
488 A reptile thing_that_has_fur
489 A professor academic
490 A living_being cloud
491 A man human
492 O tree pine
493 E plant mammal
494 A square quadrilateral
495 A dog mammal
496 E car airplane
497 I fish salmon_that_live_in_fresh_water
